country,mean,lower,upper
Afghanistan,0.057833408768833326,-0.024789095,0.15535462499999997
Azerbaijan,-0.7752196883333333,-0.90257525,-0.6311102750000002
Montenegro,-0.9158146938888889,-1.01334225,-0.8106253000000001
Morocco,-0.03740665478888888,-0.11635812499999999,0.05810746749999989
Mozambique,-0.06998653054467778,-0.14603105,0.02189993999999999
Myanmar (Burma),0.10141829973888888,0.015258945000000001,0.19838699999999998
Namibia,0.06076507586197778,-0.020163035,0.15412877499999975
Nepal,0.2934405766666667,0.20570880000000002,0.39248122499999993
Netherlands,-0.17702794772222222,-0.245914425,-0.09254388749999999
New Zealand,-0.32981576166666665,-0.411965775,-0.23326507500000015
Nicaragua,0.10126958011000001,0.013395302500000003,0.1970328999999999
Niger,0.3289390311111111,0.243418525,0.43279587499999994
Bahamas,-0.7493348444444444,-0.98519175,-0.5125098500000003
Nigeria,-0.35984914888888886,-0.4331626,-0.27214855
North Macedonia,0.18554029183333334,0.10719590000000001,0.27999694999999997
Norway,-0.47652247833333333,-0.5508987249999999,-0.387066275
Pakistan,-0.44558767555555556,-0.527782925,-0.34887135
Palestinian Territories,-0.9111504183333333,-1.039719,-0.7812331500000002
Panama,0.205902173,0.11421547500000001,0.3074580999999999
Papua New Guinea,0.9527759716666666,0.743241825,1.17214275
Paraguay,0.3720967438888889,0.28772677500000005,0.46260309999999977
Peru,0.39254998722222223,0.31359002499999994,0.49300689999999997
Philippines,0.6652760027777778,0.590262425,0.7553884
Bahrain,-1.2024945722222222,-1.33950525,-1.0658565000000002
Poland,-0.2869471561111111,-0.356700225,-0.197313725
Portugal,0.2913334527777778,0.225191725,0.375001675
Romania,-0.1481743863888889,-0.22063045,-0.05948012750000004
Russia,-0.5457096561111111,-0.618587825,-0.45782665000000006
Rwanda,0.6699439594444444,0.49669422500000004,0.8504419999999998
Samoa,0.16064647881855554,-0.11074185,0.41828022499999995
São Tomé & Príncipe,-0.030157213200055565,-0.146696775,0.09218647999999995
Saudi Arabia,-1.0735765888888888,-1.17080725,-0.966840125
Senegal,0.1288556137777778,0.05072177,0.22085102499999995
Serbia,-0.009619690093638871,-0.0898566,0.08257745999999995
Bangladesh,0.0640589117288889,-0.024438942499999998,0.16509162499999988
Seychelles,0.7914803238888889,0.636243,0.9516361499999999
Sierra Leone,0.26560241611111113,0.18564805,0.35486044999999977
Singapore,-0.4328242422222222,-0.518005175,-0.336283425
Slovakia,-0.21110645733333333,-0.27937235,-0.12359174999999999
Slovenia,0.17948948883333335,0.105712575,0.274612675
Solomon Islands,0.8008551266666667,0.5960691250000001,1.00187575
Somalia,-0.5538843305555555,-0.7226250249999999,-0.37968017500000006
South Africa,-0.03235520606352778,-0.10698122500000001,0.05782768249999985
South Korea,0.14227225838888888,0.06629557999999999,0.234551175
Spain,0.32083179666666667,0.254503225,0.40881535
Barbados,-0.25490322573,-0.6144648500000001,0.09521635999999989
Sri Lanka,0.04852752271866668,-0.03539155,0.151563075
Sudan,-0.5043283477777778,-0.6009050250000001,-0.390094675
Sweden,-0.15478834605555555,-0.22298487500000003,-0.06879303
Switzerland,-0.18971436805555555,-0.25825405,-0.1024949
Taiwan,0.009847036767888891,-0.06908954249999999,0.10415812499999998
Tajikistan,-0.03445356266794445,-0.111290075,0.05638368749999998
Tanzania,-0.26783473444444444,-0.34260275,-0.17686917500000018
Thailand,-0.15439563288333333,-0.236563575,-0.056310252500000005
Togo,0.28359643944444446,0.204979825,0.37537685
Trinidad & Tobago,0.19770370005355556,-0.012554624999999998,0.42286444999999995
Belarus,-0.8354103927777777,-1.0047707499999998,-0.669675225
Tunisia,-0.3460706438888889,-0.42447562499999997,-0.2536026
Turkey,0.007098137449777783,-0.0756173725,0.10477912499999993
Turkmenistan,-0.35777159722222224,-0.4482511,-0.2514160500000001
Uganda,0.48474220944444446,0.41136035000000004,0.573248075
Ukraine,-0.18303385216666665,-0.270314125,-0.08649220500000003
United Arab Emirates,-0.8827648344444444,-0.981078675,-0.77645525
United Kingdom,-0.02093394570705556,-0.0956934525,0.06695275749999997
United States,-0.4694108533333333,-0.547150225,-0.37821535
Uruguay,0.21148176255555556,0.125801425,0.3096743249999999
Uzbekistan,-0.5313131677777778,-0.608611625,-0.43815960000000004
Belgium,-0.16017148622222224,-0.226704025,-0.07052235750000002
Vanuatu,0.9689372277777778,0.7558437,1.1920425
Venezuela,0.26866872833333333,0.18744045,0.3664183999999998
Vietnam,0.21714884366666667,0.13078547499999998,0.3200761749999999
Yemen,-0.8140198838888889,-0.95189995,-0.6748202
Zambia,0.14932069127777778,0.07084008500000001,0.250147325
Zimbabwe,0.09475036621444445,0.0169146625,0.18494302499999998
Benin,0.46059077444444446,0.384856875,0.5511463499999999
Bhutan,1.0792080083333333,0.90864035,1.2616807499999998
Bolivia,0.4508564761111111,0.37120190000000003,0.54486345
Albania,-0.017288453569222224,-0.11093952500000001,0.08606691999999988
Bosnia & Herzegovina,0.14605181628888889,0.05780999,0.25145812500000003
Botswana,0.12628594959444445,0.04220557999999999,0.22188137499999994
Brazil,0.4552209811111111,0.372701125,0.5507161500000001
Bulgaria,-0.22613103344444443,-0.29623415000000003,-0.139029825
Burkina Faso,0.4244819938888889,0.34649169999999996,0.510312725
Cambodia,0.09586691882854446,0.00651896525,0.20073852499999995
Cameroon,0.21801540966666666,0.14112170000000002,0.31083329999999987
Canada,-0.18523373194444445,-0.2656248,-0.09253656750000008
Cape Verde,0.7564274872222222,0.6546262500000001,0.8583318
Chad,0.16212074758333334,0.037595277499999996,0.2930929999999999
Algeria,-0.3215313111111111,-0.414898775,-0.22379257500000005
Chile,0.35134514055555555,0.267835375,0.45102752499999993
China,-0.3430929516666667,-0.40674382500000006,-0.26114645000000003
Colombia,0.37068835166666664,0.28939185,0.47045017499999997
Comoros,0.4632441072222222,0.3146408,0.61625255
Congo - Brazzaville,0.24304914000000002,0.15345964999999998,0.33947034999999975
Congo - Kinshasa,0.215640298655,0.06629984250000001,0.35348659999999993
Costa Rica,0.36349481944444445,0.26887259999999996,0.4643848249999999
Côte d’Ivoire,0.29922684055555554,0.219647625,0.39513642499999996
Croatia,-0.05124344678477777,-0.1214851,0.033705144999999874
Cyprus,0.40043247055555553,0.32531380000000004,0.49230889999999994
Andorra,0.5655998977777777,0.335861825,0.7881875999999998
Czechia,-0.5773542661111111,-0.6492611,-0.48973947500000004
Denmark,-0.3072041572222222,-0.379374025,-0.21973707500000003
Dominican Republic,0.025003794505827775,-0.06239494499999999,0.13115652499999997
Ecuador,0.39920214333333337,0.3180551,0.5016264249999999
Egypt,-0.9243302983333334,-1.018238,-0.8244151
El Salvador,0.08094056037833333,-0.00689241275,0.17960367499999993
Estonia,-0.8143936505555556,-0.8862538499999999,-0.7273801500000001
Eswatini,0.91117686611111115,0.8217667,1.010117
Ethiopia,-0.4710344027777778,-0.558221,-0.36958125000000003
Fiji,0.5592857927777778,0.34763145000000006,0.7643106499999994
Angola,-0.02553874112777777,-0.14233152500000001,0.09711619749999988
Finland,-0.4263988083333333,-0.49330995,-0.34112415
France,-0.05072021095322222,-0.116567025,0.03186208749999994
Gabon,0.4000853788888889,0.327219725,0.48948084999999986
Gambia,0.55560461,0.46174735,0.6560868999999998
Georgia,0.185403039,0.09788126500000001,0.281215825
Germany,-0.06372069584022222,-0.125869575,0.01684156749999999
Ghana,-0.10256053936322222,-0.17497685000000002,-0.013550550000000092
Greece,0.38828664,0.31856292500000005,0.47559657499999985
Grenada,-0.8427050472222223,-1.07548325,-0.6066998
Guatemala,0.24351275444444445,0.1588134,0.345152
Argentina,0.19023536327777776,0.10606717500000001,0.29054715000000003
Guinea,0.5856222733333334,0.5088098,0.675075
Haiti,-0.47833103294444446,-0.745031325,-0.20808622500000007
Honduras,0.10175826359055555,0.014207454999999999,0.20521882499999997
Hong Kong SAR China,-0.3988793788888889,-0.482542425,-0.2981412500000001
Hungary,0.005239942244444437,-0.05917139,0.09033983749999996
Iceland,-0.37338944333333335,-0.46227992500000004,-0.27532342500000007
India,-0.1764902875,-0.2439332,-0.08928617000000001
Indonesia,0.34042982833333335,0.2593641,0.43422327499999996
Iran,0.020763377387777785,-0.06643004999999999,0.115470025
Iraq,-0.42009109333333333,-0.5060777000000001,-0.32507467500000004
Armenia,-0.42734477555555556,-0.51402795,-0.318885
Ireland,-0.04430501690299999,-0.111928875,0.04333477749999997
Israel,-0.8813064338888889,-0.9683377999999999,-0.7801183749999999
Italy,0.14817073955555554,0.0835045225,0.23689717499999996
Jamaica,0.16968040901644443,0.0470687475,0.3007267499999999
Japan,0.140804506,0.057915810000000005,0.23803522499999996
Jordan,-0.6679935833333334,-0.757652425,-0.56356365
Kazakhstan,-0.54693391,-0.63228345,-0.44911775
Kenya,0.2699309961111111,0.193643175,0.35742199999999996
Kosovo,-0.009305603984000009,-0.100628725,0.09043921499999996
Kuwait,-0.476894155,-0.604462625,-0.346219825
Australia,-0.33659591666666666,-0.417723525,-0.24306980000000003
Kyrgyzstan,-0.060957718132222234,-0.14125405,0.03793559499999993
Laos,-0.038386734645733334,-0.13603817499999998,0.06341288
Latvia,-0.5321371166666666,-0.601467175,-0.4446218
Lebanon,-0.4572921061111111,-0.543270525,-0.36067737500000013
Lesotho,0.91153061,0.8148636749999999,1.01493825
Liberia,0.33900034333333334,0.250057525,0.4371504749999999
Libya,-0.6811985705555555,-0.811530175,-0.5472741000000002
Lithuania,-0.47401409944444445,-0.543742125,-0.38587652499999997
Luxembourg,-0.0016755523911500007,-0.08477280499999999,0.09117363749999996
Madagascar,0.7406678905555556,0.65980985,0.8366016749999999
Austria,-0.08245699079833334,-0.1489199,0.0042767914999999245
Malawi,1.0074010861111111,0.9326278,1.10303225
Malaysia,0.08543034549715556,-0.00285918875,0.18991822499999983
Maldives,-0.5098305433333333,-0.723265,-0.305658625
Mali,0.5170471294444444,0.44102030000000003,0.6078990999999999
Malta,0.15300727033333333,0.0748749075,0.2451647249999999
Mauritania,-0.24801094661111112,-0.35946705,-0.13351880000000005
Mauritius,0.5898909666666666,0.519041725,0.6784221749999999
Mexico,0.18564900294444445,0.10576392500000001,0.283577475
Moldova,0.08808072706777778,5.266406250000011e-4,0.18426635000000002
Mongolia,0.3773439377777778,0.2955509,0.47545152499999993
